bit_index,variance,variance_rank
1770,0.016210567165638266,509
1078,0.016147099922069266,510
1870,0.016141126090942388,511
385,0.016131418452626476,512
982,0.016096319925411256,513
66,0.016087358177276422,514
125,0.01605748444360995,515
1126,0.016041799969833615,516
305,0.016032090270211078,517
281,0.0160164049452069,518
157,0.015990261568514675,519
1591,0.015962622696578017,520
882,0.01589538619468416,521
1268,0.015875960518527923,522
661,0.015862511501387126,523
245,0.015813942390208162,524
1050,0.015796007906661528,525
140,0.01576985222054714,526
752,0.015759389537178203,527
1866,0.015752663403048765,528
641,0.01574444244130457,529
1093,0.015736968714538373,530
1894,0.015624848506695224,531
1366,0.015594197648508577,532
1933,0.01548129549848181,533
1856,0.015453626586786291,534
243,0.015434182591348608,535
212,0.015414737789986527,536
1438,0.015410250413682939,537
460,0.015372853942078837,538
577,0.015355650564292533,539
169,0.015354154588593176,540
1849,0.015330218328848913,541
605,0.015319745831323735,542
1773,0.015319745831323735,543
1133,0.015311517276484164,544
117,0.015301044361690438,545
1988,0.015274112936387444,546
892,0.015259150365811661,547
719,0.01524942443921139,548
318,0.015233712901397037,549
1892,0.015197050601880993,550
1468,0.015102762973451906,551
617,0.015080310748373356,552
995,0.015069832676140376,553
1472,0.014943328940093157,554
1302,0.014911136164940029,555
540,0.014903649157112052,556
1828,0.014886428586669378,557
709,0.01487519744008312,558
1062,0.01487369993360429,559
386,0.014857227047597453,560
161,0.01483027017129743,561
657,0.014782343020626223,562
860,0.01477710069226089,563
1015,0.01474339861504318,564
94,0.014735159962304751,565
1793,0.014704450985762554,566
1678,0.014702952935642416,567
1096,0.01468272879227587,568
957,0.014678983485165657,569
1775,0.014644525261305961,570
742,0.014640030524385186,571
251,0.014628793494312405,572
2043,0.014622051147511585,573
1607,0.014615308704142899,574
1087,0.014582344257573411,575
1912,0.014579347375252655,576
1904,0.014508915149460816,577
725,0.014496176281661678,578
568,0.01449018140112485,579
1681,0.014462454086138977,580
257,0.014425731616498329,581
755,0.014422733737501843,582
566,0.01435002933186566,583
1061,0.014332788497670106,584
517,0.014326791537943714,585
490,0.014307300891882375,586
1598,0.014214334415553039,587
2003,0.01419483911992788,588
721,0.014143097697193059,589
1422,0.014137848250226301,590
1808,0.01412809912230257,591
81,0.014095100578931742,592
85,0.014094350585212544,593
1447,0.014059099535613304,594
1994,0.014038097658514498,595
489,0.014018595078572688,596
1992,0.014000591981770432,597
1549,0.0139465785711348,598
1694,0.013924071159310302,599
1362,0.013903063273544406,600
983,0.013894809919838935,601
2034,0.013885806096728123,602
1403,0.013873050386778194,603
551,0.013837782807383481,604
1653,0.013834030782249648,605
1570,0.013828777896990052,606
210,0.013803263051911516,607
391,0.013757482963706663,608
1910,0.013740220467312493,609
1626,0.013735717103662542,610
1736,0.013677920127159638,611
619,0.013647142229775288,612
1068,0.013637382965802435,613
1716,0.013625371287400254,614
46,0.013614860818437217,615
1142,0.013609605496329301,616
1381,0.013566809984599628,617
54,0.013491720780722421,618
396,0.01346393475366747,619
525,0.013462432759763457,620
1483,0.013461681761023156,621
1128,0.013451167653478379,622
6,0.01344816357983225,623
1891,0.013433893969518343,624
1758,0.0133790646212344,625
1318,0.013363290618318428,626
1982,0.013313711757788222,627
1125,0.01326412770405289,628
511,0.013254360535821541,629
1487,0.013228814681728917,630
420,0.013199510387296585,631
1948,0.013198758971287736,632
1619,0.013194250450198529,633
600,0.013167198422363238,634
188,0.013161186650795593,635
